A&N Islands, Andaman Nicobar
Panchmahal, Gujarat
Pandharpur, Maharashtra
Panipat, Haryana
Panjim, Goa
Panna, Madhya Pradesh
Panoor, Kerala
Panruti, Tamil Nadu
Panvel, Maharashtra
Paonta Sahib, Himachal Pradesh
Papum pare, Arunachal Pradesh
Paradeep, Orissa
Parappanangadi, Kerala
Paratwada, Maharashtra
Parbhani, Maharashtra
Parli, Maharashtra
Parshivni, Maharashtra
Paschim Bardhaman, West Bengal
Paschim Medinipur, West Bengal
Pashchim Champaran, Bihar
Pasighat, Arunachal Pradesh
Pasumpon, Tamil Nadu
Patan, Gujarat
Pataudi, Haryana
Pathalgaon, Chhattisgarh
Pathanamthitta, Kerala
Pathankot, Punjab
Patiala, Punjab
Patna, Bihar
Patran, Punjab
Patratu, Jharkhand
Pattambi, Kerala
Pattamundai, Orissa
Pauri Garhwal, Uttarakhand
Payal, Punjab
Payyanur, Kerala
Pazhayannur, Kerala
Peddapalli, Telangana
Peddepuram, Andhra Pradesh
Pehowa, Haryana
Pen, Maharashtra
Pendra, Chhattisgarh
Perambalur, Tamil Nadu
Peren, Nagaland
Perintalmanna, Kerala
Pernem, Goa
Perumbavoor, Kerala
Perumpilavu, Kerala
Perunthanni, Kerala
Phagwara, Punjab
Phaltan, Maharashtra
Phek, Nagaland
Pileru, Andhra Pradesh
Pilibhit, Uttar Pradesh
Pimpri-Chinchwad, Maharashtra
Pinjore, Haryana
Pinjore, Himachal Pradesh
Pipili, Orissa
Piravom, Kerala
Pithapuram, Andhra Pradesh
Pithoragarh, Uttarakhand
Pollachi, Tamil Nadu
Ponda, Goa
Pondicherry, Pondicherry
Ponneri, Tamil Nadu
Ponnur, Andhra Pradesh
Poonamallee, Tamil Nadu
Poonch, Jammu & Kashmir
Porbandar, Gujarat
Port Blair, Andaman Nicobar
Porvorim, Goa
Prakasam, Andhra Pradesh
Prantij, Gujarat
Pratapgarh (Rajasthan), Rajasthan
Pratapgarh (Uttar Pradesh), Uttar Pradesh
Prathipadu, Andhra Pradesh
Proddatur, Andhra Pradesh
Pudukkottai, Tamil Nadu
Pulgaon, Maharashtra
Pulwama, Jammu & Kashmir
Pune, Maharashtra
Punganur, Andhra Pradesh
Purandar, Maharashtra
Purba Medinipur, West Bengal
Puri, Orissa
Purnea, Bihar
Purulia, West Bengal
Pusad, Maharashtra
Puttaparthi, Andhra Pradesh
Puttur, Karnataka
Puvar, Kerala
Quaid-E-Milleth, Tamil Nadu
Quepem, Goa
Rae Bareli, Uttar Pradesh
Raghunathpur, Orissa
Rahama, Orissa
Rahuri, Maharashtra
Raichur, Karnataka
Raigad, Maharashtra
Raiganj, West Bengal
Raigarh, Chhattisgarh
Raikot, Punjab
Raipur, Chhattisgarh
Raisen, Madhya Pradesh
Rajahumundry, Andhra Pradesh
Rajapalayam, Tamil Nadu
Rajapur, Maharashtra
Rajgangpur, Orissa
Rajgarh, Madhya Pradesh
Rajim, Chhattisgarh
Rajkot, Gujarat
Rajnandgaon, Chhattisgarh
Rajouri, Jammu & Kashmir
Rajpura, Punjab
Rajsamand, Rajasthan
Rajula, Gujarat
Ramagundam, Telangana
Ramanagara, Karnataka
Ramanathapuram, Tamil Nadu
Ramban, Jammu & Kashmir
Rambha, Orissa
Rameswaram, Tamil Nadu
Ramganj mandi, Rajasthan
Ramgarh Cantt, Jharkhand
Ramgarh, Jharkhand
Ramnad, Tamil Nadu
Rampur (Himachal Pradesh), Himachal Pradesh
Rampur (Uttar Pradesh), Uttar Pradesh
Ranaghat, West Bengal
Ranchi, Jharkhand
Ranebennur, Karnataka
Ranga Reddy, Telangana
Rangia, Assam
Raniganj, West Bengal
Ranipet, Tamil Nadu
Ratlam, Madhya Pradesh
Ratnagiri, Maharashtra
Raver, Maharashtra
Ravulapalem, Andhra Pradesh
Rawatbhata, Rajasthan
Rayadrug, Andhra Pradesh
Rayagada, Orissa
Raygada, Orissa
Rayya, Punjab
Razole, Andhra Pradesh
Reasi, Jammu & Kashmir
Redhills, Tamil Nadu
Renukut, Uttar Pradesh
Repalle, Andhra Pradesh
Rewa, Madhya Pradesh
Rewari, Haryana
Ri Bhoi, Meghalaya
Rishikesh, Uttarakhand
Robertsganj, Uttar Pradesh
Rohru, Himachal Pradesh
Rohtak, Haryana
Rohtas, Bihar
Roorkee, Uttarakhand
Ropar, Punjab
Rourkela, Orissa
Rudraprayag, Uttarakhand
Rudrapur, Uttarakhand
Rupnagar, Punjab
Sabarkantha, Gujarat
Sagar, Madhya Pradesh
Sagara, Karnataka
Sagwara, Rajasthan
Saharanpur, Uttar Pradesh
Saharsa, Bihar
Sahibabad, Uttar Pradesh
Sahibganj, Jharkhand
Saiha, Mizoram
Sakhigopal, Orissa
Sakleshpura, Karnataka
Salem, Tamil Nadu
Salipur, Orissa
Samalkot, Andhra Pradesh
Samana, Punjab
Samastipur, Bihar
Samba, Jammu & Kashmir
Sambalpur, Orissa
Sambhal, Uttar Pradesh
Samrala, Punjab
Sanand, Gujarat
Sanawad, Madhya Pradesh
Sanchore, Rajasthan
Sandila, Uttar Pradesh
Sanga Reddy, Telangana
Sangamner, Maharashtra
Sangareddi, Telangana
Sangli, Maharashtra
Sangola, Maharashtra
Sangrama, Jammu & Kashmir
Sangrur, Punjab
Sanguem, Goa
Sant Kabir Nagar, Uttar Pradesh
Sant Ravidas Nagar, Uttar Pradesh
Saraipali, Chhattisgarh
Saran, Bihar
Sarangarh, Chhattisgarh
Sasaram, Bihar
Saswad, Maharashtra
Satara, Maharashtra
Sathyamangalam, Tamil Nadu
Satna, Madhya Pradesh
Sattenapalle, Andhra Pradesh
SavarKundla, Gujarat
Savner, Maharashtra
Sawai Madhopur, Rajasthan
Sawantwadi, Maharashtra
Secunderabad, Telangana
Sehore, Madhya Pradesh
Senapati, Manipur
Seoni, Madhya Pradesh
Sepahijala, Tripura
Seraikela-kharsawan, Jharkhand
Serampore, West Bengal
Serchhip, Mizoram
Shadnagar, Telangana
Shahada, Maharashtra
Shahapur, Maharashtra
Shahdol, Madhya Pradesh
Shaheed Bhagat Singh Nagar, Punjab
Shahganj, Uttar Pradesh
Shahjahanpur, Uttar Pradesh
Shajapur, Madhya Pradesh
Shamli, Uttar Pradesh
Sharanpur, Uttar Pradesh
Sheikhpura, Bihar
Sheohar, Bihar
Sheopur, Madhya Pradesh
Shikohabad, Uttar Pradesh
Shillong, Meghalaya
Shimla, Himachal Pradesh
Shimoga, Karnataka
Shirdi, Maharashtra
Shirur, Maharashtra
Shirwal, Maharashtra
Shivpuri, Madhya Pradesh
Shoghi, Himachal Pradesh
Shopian, Jammu & Kashmir
Shrirampur, Maharashtra
Sibsagar, Assam
Siddharthnagar, Uttar Pradesh
Siddipet, Telangana
Sidhi, Madhya Pradesh
Sihor, Gujarat
Sikar, Rajasthan
Silchar, Assam
Siliguri, West Bengal
Sillod, Maharashtra
Silvassa, Dadra and Nagar Haveli
Silvassa, Daman & Diu
Silvassa, Gujarat
Simdega, Jharkhand
Sindagi, Karnataka
Sindhdurg, Maharashtra
Singar Nagar, Uttar Pradesh
Singra, Assam
Singrauli, Madhya Pradesh
Singur, West Bengal
Sinnar, Maharashtra
Sipajhar, Assam
Sira, Karnataka
Sirhind, Punjab
Sirmaur, Himachal Pradesh
Sirohi, Rajasthan
Sirsa, Haryana
Sirsi, Karnataka
Sirsilla, Telangana
Sitamarhi, Bihar
Sitapur, Uttar Pradesh
Sivagangai, Tamil Nadu
Sivakasi, Tamil Nadu
Sivasagar, Assam
Siwan, Bihar
Sodawas, Rajasthan
Sohna, Haryana
Solan, Himachal Pradesh
Solapur, Maharashtra
Sonapur, Assam
Sonari, Assam
Sonarpur, West Bengal
Sonbhadra, Uttar Pradesh
Sonepur, Bihar
Sonepur, Orissa
Soneswar, Assam
Sonipat, Haryana
Sonitpur, Assam
South 24 Paraganas, West Bengal
South Arcot, Tamil Nadu
South Garo Hills, Meghalaya
South Goa, Goa
South Sikkim, Sikkim
South Tripura, Tripura
Sravasti, Uttar Pradesh
Sriganganagar, Rajasthan
Srikakulam, Andhra Pradesh
Srikalahastri, Andhra Pradesh
Srinagar, Jammu & Kashmir
Sriperumbudur, Tamil Nadu
Srivilliputtur, Tamil Nadu
Sukma, Chhattisgarh
Sullia, Karnataka
Sullurupeta, Andhra Pradesh
Sultanpur, Uttar Pradesh
Sumerpur, Rajasthan
Sunabeda, Orissa
Sunam, Punjab
Sundargarh, Orissa
Sundergarh, Orissa
Supaul, Bihar
Surajpur, Chhattisgarh
Surat, Gujarat
Surendranagar, Gujarat
Surguja, Chhattisgarh
Suri, West Bengal
Suriapet, Telangana
Sutrapada, Gujarat
Tadepallegudem, Andhra Pradesh
Tadpatri, Andhra Pradesh
Talacher, Orissa
Talaja, Gujarat
Talala, Gujarat
Talcher, Orissa
Taliparamba, Kerala
Talwandi Sabo, Punjab
Talwara, Punjab
Tamenglong, Manipur
Tamluk, West Bengal
Tandur, Telangana
Tanuku, Andhra Pradesh
Tapi, Gujarat
Tarakeswar, West Bengal
Tarn Taran, Punjab
Tawang, Arunachal Pradesh
Tebhurni, Maharashtra
Tehri Garhwal, Uttarakhand
Telidih, Jharkhand
Tenali, Andhra Pradesh
Tenkasi, Tamil Nadu
Tensa, Orissa
Tezpur, Assam
Tezu, Arunachal Pradesh
Thalassery, Kerala
Thane, Maharashtra
Thanjavur, Tamil Nadu
Tharad, Gujarat
Theni, Tamil Nadu
Thiruthani, Tamil Nadu
Thiruvalla, Kerala
Thiruvallur, Tamil Nadu
Thiruvananthapuram, Kerala
Thiruvarur, Tamil Nadu
Thivim, Goa
Thodupuzha, Kerala
Thoothukudi, Tamil Nadu
Thoubal, Manipur
Thrissur, Kerala
Thuckalay, Tamil Nadu
Tikamgarh, Madhya Pradesh
Tilda, Chhattisgarh
Tindivanam, Tamil Nadu
Tinsukia, Assam
Tiptur, Karnataka
Tirap, Arunachal Pradesh
Tirtol, Orissa
Tiruchengode, Tamil Nadu
Tiruchirappalli, Tamil Nadu
Tirunelveli, Tamil Nadu
Tirupathur, Tamil Nadu
Tirupati, Andhra Pradesh
Tiruppur, Tamil Nadu
Tirur, Kerala
Tiruttani, Tamil Nadu
Tiruvannamalai, Tamil Nadu
Tiruvuru, Andhra Pradesh
Titlagarh, Orissa
Tonk, Rajasthan
Trimulgherry, Telangana
Tuensang, Nagaland
Tumkur, Karnataka
Tumsar, Maharashtra
Tuni, Andhra Pradesh
Tura, Meghalaya
Tuticorin, Tamil Nadu
Udaipur-Tripura, Tripura
Udaipur, Rajasthan
Udalguri, Assam
Udgir, Maharashtra
Udham Singh Nagar, Uttarakhand
Udhampur, Jammu & Kashmir
Udumalpet, Tamil Nadu
Udupi, Karnataka
Ujjain, Madhya Pradesh
Ukhrul, Manipur
Ulhasnagar, Maharashtra
Umaria, Madhya Pradesh
Umrala, Gujarat
Umred, Maharashtra
Una (Gujarat), Gujarat
Una (HP), Himachal Pradesh
Unakoti, Tripura
Unnao, Uttar Pradesh
Upper Siang, Arunachal Pradesh
Upper Subansiri, Arunachal Pradesh
Uttar Dinajpur, West Bengal
Uttar Kannada, Karnataka
Uttarkashi, Uttarakhand
Vadakara, Kerala
Vadodara, Gujarat
Vaibhavwadi, Maharashtra
Vaijanath, Maharashtra
Vaijapur, Maharashtra
Vaishali, Bihar
Vallabhipur, Gujarat
Valpoi, Goa
Valsad, Gujarat
Valvada, Gujarat
Vaniyambadi, Tamil Nadu
Vanthali, Gujarat
Vapi, Gujarat
Varanasi, Uttar Pradesh
Vasai, Maharashtra
Vasco, Goa
Vatakara, Kerala
VEDARANIYAM, Tamil Nadu
Velachery, Tamil Nadu
Vellore, Tamil Nadu
Vengara, Kerala
Vengurla, Maharashtra
Venkatagiri, Andhra Pradesh
Veraval, Gujarat
Verna, Goa
Vidisha, Madhya Pradesh
Vijapur, Gujarat
Vijaywada, Andhra Pradesh
Vikarabad, Telangana
Vikasnagar, Uttarakhand
Villupuram, Tamil Nadu
Vinukonda, Andhra Pradesh
Viramgam, Gujarat
Virar, Maharashtra
Virudhunagar, Tamil Nadu
Visakhapatnam, Andhra Pradesh
Visavadar, Gujarat
Visnagar, Gujarat
Vizianagaram, Andhra Pradesh
Vriddhachalam, Tamil Nadu
Vuyyuru, Andhra Pradesh
Wadkhal, Maharashtra
Wai, Maharashtra
Waidhan, Madhya Pradesh
Wanaparthy, Telangana
Wani, Maharashtra
Waranakadoli, Maharashtra
Warangal, Telangana
Wardha, Maharashtra
Washim, Maharashtra
Wayanad, Kerala
West Garo Hills, Meghalaya
West Godavari, Andhra Pradesh
West Kameng, Arunachal Pradesh
West Khasi Hills, Meghalaya
West Siang, Arunachal Pradesh
West Sikkim, Sikkim
West Singhbhum, Jharkhand
West Tripura, Tripura
Wokha, Nagaland
Yadadri Bhuvanagiri, Telangana
Yadgir, Karnataka
Yamunanagar, Haryana
Yanam, Pondicherry
Yavatmal, Maharashtra
Yellandu, Telangana
Yellapur, Karnataka
Yeole, Maharashtra
Yeotamal, Maharashtra
YSR District, Andhra Pradesh
Zaheerabad, Telangana
Zira, Punjab
Zirakpur, Punjab
Zunhebotto, Nagaland
